symbol,trade1_id,account1,trade2_id,account2,open_diff_sec,close_diff_sec
XAUUSD,46523009,10381031,46522741,10379618,31.0,148.0
XAUUSD,47416523,10207529,47417400,10501890,32.0,289.0
XAUUSD,47494459,10341762,47507850,10538695,183.0,106.0
XAUUSD,47494459,10341762,1743933942465064324,1742535,275.338001,243.997
XAUUSD,44094696,10483092,44088881,10436645,275.0,156.0
EURUSD,44368989,10440531,1743933942351786249,1760881,284.816,156.644001
XAUUSD,1742642088766652695,100760175,45892433,10475709,124.186,136.822
XAUUSD,46219038,10467807,1743933942415187818,1750569,35.621999,99.256
XAUUSD,46219038,10467807,46220397,10410722,52.0,7.0
XAUUSD,46308379,10372329,46312791,10441488,144.0,107.0
XAUUSD,46975825,10398024,46978037,10348805,46.0,174.0
XAUUSD,46975825,10398024,46968602,10217664,276.0,102.0
XAUUSD,47058855,10488983,47062725,10532736,159.0,230.0
XAUUSD,47058855,10488983,47053051,10459862,295.0,295.0
XAUUSD,1742642088820323057,100772202,47453722,10443668,31.171999,119.959
XAUUSD,1742642088821975782,100773119,47528495,10420232,213.733999,223.661999
XAUUSD,47611873,10472711,47616628,10503384,120.0,223.0
XAUUSD,44854716,10463505,44857692,10475713,47.0,70.0
NDX100,1742642088731244150,100727614,1743933942368789751,1696326,118.49,120.406999
XAUUSD,46050427,10471134,46049653,10509703,47.0,191.0
XAUUSD,1743933942415187818,1750569,46220397,10410722,16.378001,106.256
NDX100,46578898,10525099,46581799,10435876,70.0,31.0
XAUUSD,1743933942435722387,1779273,46681590,10458709,176.631001,252.934999
XAUUSD,1743933942462905116,1525120,47417400,10501890,124.651,41.648
XAUUSD,45138823,10420232,45141277,10349056,172.0,290.0
XAUUSD,45138823,10420232,45136577,10432542,116.0,44.0
XAUUSD,38200024,5789119,1743933942402867070,1765157,24.946001,72.004
XAUUSD,46702935,10515916,46702604,10422098,5.0,139.0
EURUSD,38222742,5790422,47425438,10518392,117.473,107.345
XAUUSD,47528495,10420232,1742642088821791032,100775203,261.732001,31.196001
XAUUSD,44323107,10480826,44326131,10466719,168.0,170.0
XAUUSD,44786625,10355708,44779889,10303305,176.0,78.0
NDX100,1743933942367606319,1737512,44840703,10464590,231.425,34.808
XAUUSD,46871372,10507032,46865451,10409127,187.0,256.0
XAUUSD,46871372,10507032,46872721,10139308,62.0,7.0
NDX100,1742642088814234325,100773882,1742642088814103224,100773764,142.181,278.087001
XAUUSD,44233504,10286461,44235359,10465882,194.0,226.0
XAUUSD,44703565,10477465,1742642088724873658,100737203,195.872,64.122
EURUSD,1743933942365701449,1447337,44860721,10497045,89.148999,224.638999
NDX100,44840703,10464590,1742642088730238510,100755117,261.177,34.424001
XAUUSD,45214431,10220483,45213899,10458937,30.0,116.0
XAUUSD,45407099,10341387,45408510,10416761,131.0,194.0
XAUUSD,46182165,10451865,38205939,5790246,119.43,29.449
XAUUSD,46302686,10417959,46299346,10522362,133.0,142.0
XAUUSD,1742642088819505068,100744939,47430813,10506908,259.006999,2.367
XAUUSD,47507850,10538695,38224194,5783398,202.281,0.867
XAUUSD,1742642088738288524,100746617,1743933942376293317,1658249,155.316,30.274999
NDX100,45275757,10435475,45279969,10303921,211.0,128.0
XAUUSD,46859484,10531721,46865451,10409127,231.0,36.0
XAUUSD,44693847,10343926,1742642088724873658,100737203,185.128,12.122
XAUUSD,45015090,10468815,45023429,10429395,252.0,43.0
XAUUSD,45015090,10468815,45021784,10294645,193.0,99.0
XAUUSD,45894523,10514283,45899700,10308821,148.0,24.0
XAUUSD,46515155,10351275,46517346,10415253,82.0,4.0
XAUUSD,46515155,10351275,1743933942426045493,1757737,284.523999,128.414001
XAUUSD,1742642088797791390,100769763,1743933942439833626,1773021,265.884,76.635
XAUUSD,46907419,10532736,46902354,10532737,235.0,240.0
XAUUSD,47488697,10531650,1743933942465064324,1742535,126.661999,179.997
XAUUSD,44084948,10413995,44088881,10436645,177.0,65.0
XAUUSD,38196388,5793062,45520431,10466599,64.005,284.026
XAUUSD,46299346,10522362,46294906,10342413,195.0,115.0
NDX100,1742642088778540258,100747668,1743933942419526437,1778154,55.144,121.401
XAUUSD,46865451,10409127,46872721,10139308,249.0,249.0
XAUUSD,1743933942370551603,1528718,45071732,10259239,59.81,217.783
XAUUSD,45141277,10349056,45136577,10432542,288.0,246.0
XAUUSD,46517346,10415253,1743933942426045493,1757737,202.523999,124.414001
XAUUSD,38216949,5793156,47027416,10306589,146.433,82.066
XAUUSD,1743933942426045493,1757737,46522741,10379618,154.476001,5.585999
XAUUSD,47610257,10344360,47616628,10503384,277.0,105.0
XAUUSD,45023429,10429395,45021784,10294645,59.0,56.0
XAUUSD,45260682,10454349,45259525,10498663,64.0,2.0
XAUUSD,1743933942383400233,1769973,45397251,10475272,104.63,158.611
XAUUSD,46954255,10171663,1742642088805542917,100771408,15.730999,9.451
XAUUSD,47221291,10527162,1743933942456647851,1636109,218.63,40.454999
