Trade 1 ID,Trade 2 ID,Symbol,Category
44224028,1743933942355752687,EURUSD,Partial Copy
44224028,44454238,EURUSD,Partial Copy
44224028,44551707,EURUSD,Copy Trade
44224028,1743933942368448941,EURUSD,Partial Copy
44224028,44797294,EURUSD,Partial Copy
44224028,1743933942365701449,EURUSD,Partial Copy
44224028,1743933942402159302,EURUSD,Partial Copy
44224028,1743933942406247509,EURUSD,Copy Trade
44224028,1743933942406015360,EURUSD,Partial Copy
44224028,46134271,EURUSD,Partial Copy
44224028,46169867,EURUSD,Reverse Trade
44224028,1743933942418912960,EURUSD,Partial Copy
44224028,1743933942447201143,EURUSD,Partial Copy
44224028,47116736,EURUSD,Partial Copy
44224028,47158310,EURUSD,Partial Copy
44224028,47179220,EURUSD,Reverse Trade
44224028,1743933942460591351,EURUSD,Reverse Trade
44271804,1743933942448903129,EURUSD,Partial Copy
44271804,45867525,EURUSD,Reverse Trade
44274193,44610856,EURUSD,Copy Trade
44274193,44630767,EURUSD,Reverse Trade
44274193,44686094,EURUSD,Copy Trade
44274193,1743933942364315175,EURUSD,Copy Trade
44274193,44833225,EURUSD,Reverse Trade
44274193,45106927,EURUSD,Copy Trade
44274193,1743933942407874844,EURUSD,Copy Trade
44274193,46121439,EURUSD,Copy Trade
44274193,1742642088788213589,EURUSD,Reverse Trade
44274193,1742642088805447586,EURUSD,Copy Trade
44290458,45695476,EURUSD,Partial Copy
44290458,1742642088793656699,EURUSD,Partial Copy
1743933942355752687,44385636,EURUSD,Partial Copy
1743933942355752687,44454238,EURUSD,Reverse Trade
1743933942355752687,44400945,EURUSD,Partial Copy
1743933942355752687,44551707,EURUSD,Partial Copy
1743933942355752687,1743933942368448941,EURUSD,Partial Copy
1743933942355752687,44797294,EURUSD,Partial Copy
1743933942355752687,38188624,EURUSD,Partial Copy
1743933942355752687,45479996,EURUSD,Partial Copy
1743933942355752687,45697869,EURUSD,Partial Copy
1743933942355752687,1743933942402159302,EURUSD,Partial Copy
1743933942355752687,45823705,EURUSD,Partial Copy
1743933942355752687,1743933942406247509,EURUSD,Partial Copy
1743933942355752687,46169867,EURUSD,Partial Copy
1743933942355752687,46465026,EURUSD,Partial Copy
1743933942355752687,46627259,EURUSD,Partial Copy
1743933942355752687,46898488,EURUSD,Partial Copy
1743933942355752687,47116736,EURUSD,Copy Trade
1743933942355752687,47179220,EURUSD,Partial Copy
1743933942355752687,1743933942460591351,EURUSD,Partial Copy
44303695,44736824,EURUSD,Partial Copy
44303695,44894400,EURUSD,Partial Copy
44303695,1742642088741282544,EURUSD,Partial Copy
44303695,1742642088781898335,EURUSD,Partial Copy
44303695,47137410,EURUSD,Partial Copy
44303695,47381241,EURUSD,Partial Copy
44360771,44588763,EURUSD,Partial Copy
44360771,44593368,EURUSD,Partial Copy
44360771,44676799,EURUSD,Partial Copy
44360771,1743933942366851126,EURUSD,Partial Copy
44360771,45683177,EURUSD,Partial Copy
44360771,1742642088783569356,EURUSD,Partial Copy
44360771,1743933942413874505,EURUSD,Partial Copy
44360771,38207964,EURUSD,Partial Copy
44360771,46445752,EURUSD,Partial Copy
44360771,47135859,EURUSD,Partial Copy
1743933942351786249,38186345,EURUSD,Reverse Trade
1743933942351786249,1743933942380382176,EURUSD,Copy Trade
1743933942351786249,1743933942376365877,EURUSD,Copy Trade
1743933942351786249,1743933942408202736,EURUSD,Copy Trade
1743933942351786249,1743933942417158679,EURUSD,Copy Trade
1743933942351786249,46960479,EURUSD,Copy Trade
1743933942351786249,38218017,EURUSD,Copy Trade
1743933942351786249,1743933942459221801,EURUSD,Partial Copy
1743933942351786249,47571517,EURUSD,Copy Trade
44368989,44498525,EURUSD,Reverse Trade
44368989,44860721,EURUSD,Reverse Trade
44368989,45060402,EURUSD,Copy Trade
44368989,45104490,EURUSD,Copy Trade
44368989,45651744,EURUSD,Partial Copy
44368989,45755299,EURUSD,Copy Trade
44368989,45741758,EURUSD,Partial Copy
44368989,45794395,EURUSD,Reverse Trade
44368989,46114796,EURUSD,Reverse Trade
44368989,47174606,EURUSD,Partial Copy
44368989,47315997,EURUSD,Reverse Trade
44368989,47412555,EURUSD,Partial Copy
44368989,47425438,EURUSD,Copy Trade
44385636,44454238,EURUSD,Partial Copy
44385636,44400945,EURUSD,Partial Copy
44385636,44797294,EURUSD,Partial Copy
44385636,38185951,EURUSD,Partial Copy
44385636,38188624,EURUSD,Copy Trade
44385636,38188725,EURUSD,Partial Copy
44385636,45479996,EURUSD,Reverse Trade
44385636,45697869,EURUSD,Reverse Trade
44385636,45823705,EURUSD,Reverse Trade
44385636,45908669,EURUSD,Partial Copy
44385636,46465026,EURUSD,Reverse Trade
44385636,46627259,EURUSD,Reverse Trade
44385636,46628732,EURUSD,Partial Copy
44385636,46764834,EURUSD,Partial Copy
44385636,46898488,EURUSD,Copy Trade
44385636,47116736,EURUSD,Partial Copy
44385636,47322542,EURUSD,Partial Copy
44385636,47412555,EURUSD,Partial Copy
44391017,44546230,EURUSD,Partial Copy
44391017,44660724,EURUSD,Partial Copy
44391017,44681840,EURUSD,Partial Copy
44391017,45763708,EURUSD,Partial Copy
44391017,46442535,EURUSD,Reverse Trade
44391017,46879071,EURUSD,Partial Copy
44391017,47034530,EURUSD,Partial Copy
